id,type,model,name,serial_number,status,ipadd,os,tagline,input_date,location
1,router,Cisco ASR1002-X,BB_RHO_AGG1,FOX1926GFFX,1,172.16.1.4,bootflash:asr1002x-universalk9.03.16.03.S.155-3.S3-ext.SPA.bin,,2019-01-21,4
2,router,Cisco ASR1002-X,BB_RHO_AGG2,FOX2212PE1P,1,172.16.1.5,bootflash:/asr1002x-universalk9.16.03.05.SPA.bin,,2019-01-21,4
3,router,Cisco 1841,BB_RHO_RINTIS,FHK141075AG,1,172.16.1.3,flash:c1841-ipbasek9-mz.124-22.T4.bin,,2019-01-21,4
4,router,Cisco 3845,BB_RHO_PARTLINK1,FHK1321F04Y,1,172.16.1.6,flash:c3845-adventerprisek9-mz.124-25.bin,,2019-01-21,4
5,switch,WS-C2960-24TC-L,BB_AHO1_SW01,FOC1143Z668,1,172.16.1.111,flash:c2960-lanbase-mz.122-35.SE5/c2960-lanbase-mz.122-35.SE5.bin,,2019-01-21,4
6,switch,WS-C2960-24TC-L,BB_AHO1_SW02,FOC1122ZB4P,1,172.16.1.112,flash:c2960-lanbase-mz.122-25.SEE3/c2960-lanbase-mz.122-25.SEE3.bin,,2019-01-21,4
7,switch,WS-C2960-24TT-L,BB_AHO1_SW03,FOC1503Y34U,1,172.16.1.113,flash:/c2960-lanbasek9-mz.122-50.SE4/c2960-lanbasek9-mz.122-50.SE4.bin,,2019-01-21,4
8,switch,WS-C2960+24TC-L,BB_AHO1_SW04,FOC2002W4W7,1,172.16.1.114,flash:/c2960-lanbasek9-mz.150-2.SE8/c2960-lanbasek9-mz.150-2.SE8.bin,,2019-01-21,4
9,switch,WS-C2960-24TC-L,BB_AHO2_SW01,FOC1142U335,1,172.16.1.121,flash:c2960-lanbase-mz.122-35.SE5/c2960-lanbase-mz.122-35.SE5.bin,,2019-01-21,4
10,switch,WS-C2950G-48-EI,BB_AHO2_SW06,FOC0919X1AY,1,172.16.1.126,flash:/c2950-i6q4l2-mz.121-22.EA4.bin,,2019-01-21,4
11,switch,WS-C2960-24TC-L,BB_AHO3_SW01,FOC1143Z66A,1,172.16.1.131,flash:c2960-lanbase-mz.122-35.SE5/c2960-lanbase-mz.122-35.SE5.bin,,2019-01-21,4
12,switch,WS-C2960-24TC-L,BB_AHO3_SW02,FOC1122ZB5T,1,172.16.1.132,flash:/c2960-lanbasek9-mz.152-2.E8/c2960-lanbasek9-mz.152-2.E8.bin,,2019-01-21,4
13,switch,WS-C2950G-48-EI,BB_AHO3_SW06,FOC0919W16V,1,172.16.1.136,flash:/c2950-i6q4l2-mz.121-22.EA4.bin,,2019-01-21,4
14,switch,WS-C2960X-24PS-L,BB_AHO4_SW06,FOC2024W0Z2,1,172.16.1.146,flash:/c2960x-universalk9-mz.152-2.E3/c2960x-universalk9-mz.152-2.E3.bin,,2019-01-21,4
15,switch,WS-C2960-24TC-L,BB_AHO5_SW01,FOC1122ZB8Z,1,172.16.1.151,flash:c2960-lanbasek9-mz.122-55.SE12/c2960-lanbasek9-mz.122-55.SE12.bin,,2019-01-21,4
16,switch,WS-C2960-24TC-L,BB_AHO5_SW02,FOC1122ZB5E,1,172.16.1.152,flash:c2960-lanbasek9-mz.122-55.SE12/c2960-lanbasek9-mz.122-55.SE12.bin,,2019-01-21,4
17,switch,WS-C2960X-48LPS-L,BB_AHO5_SW03,FCW2022A4W5,1,172.16.1.153,flash:/c2960x-universalk9-mz.152-2.E3/c2960x-universalk9-mz.152-2.E3.bin,,2019-01-21,4
18,switch,WS-C2960+24TC-L,BB_AHO6_SW01,FOC2103Y46N,1,172.16.1.161,flash:/c2960-lanbasek9-mz.150-2.SE11/c2960-lanbasek9-mz.150-2.SE11.bin,,2019-01-21,4
19,switch,WS-C2960+24TC-L,BB_AHO6_SW02,FOC2103Y46F,1,172.16.1.162,flash:/c2960-lanbasek9-mz.150-2.SE11/c2960-lanbasek9-mz.150-2.SE11.bin,,2019-01-21,4
20,firewall,ASA 5520,ASA_PRIMARY,JMX1542X0AJ,1,172.16.1.210,disk0:/asa844-k8.bin,,2019-01-21,4
21,module IPS,AIP-SSM-20,IPS_PRIMARY,JAF1538BECQ,1,172.16.1.212,unknown,,2019-01-21,4
22,firewall,ASA 5520,ASA_SECONDARY,JMX1532L0RV,1,172.16.1.211,disk0:/asa844-k8.bin,,2019-01-21,4
23,module IPS,AIP-SSM-20,IPS_SECONDARY,JAF1523AJGT,1,172.16.1.213,unknown,,2019-01-21,4
24,switch,WS-C2960X-48LPS-L,BB_AHO_ITROOM,FCW1748A4C1,1,172.16.1.220,flash:/c2960x-universalk9-mz.150-2.EX4/c2960x-universalk9-mz.150-2.EX4.bin,,2019-01-21,4
25,switch,WS-C2960S-24TS-L,BB_AHO_C1_SW01,FOC1643Y1RV,1,172.16.1.230,flash:/c2960s-universalk9-mz.122-55.SE5/c2960s-universalk9-mz.122-55.SE5.bin,,2019-01-21,4
26,switch,WS-C2960G-24TC-L,BB_AHO_C2_SW01,FOC1548X2VE,1,172.16.1.231,flash:c2960-lanbasek9-mz.122-50.SE5/c2960-lanbasek9-mz.122-50.SE5.bin,,2019-01-21,4
27,switch,WS-C2960G-24TC-L,BB_AHO_C1_SW02,FOC1418X0R8,1,172.16.1.232,flash:c2960-lanbasek9-mz.122-52.SE/c2960-lanbasek9-mz.122-52.SE.bin,,2019-01-21,4
28,switch,WS-C2960G-24TC-L,BB_AHO_C2_SW02,FOC1548X2UZ,1,172.16.1.233,flash:c2960-lanbasek9-mz.122-50.SE5/c2960-lanbasek9-mz.122-50.SE5.bin,,2019-01-21,4
29,switch,WS-C2960S-24TS-L,BB_AHO_C1_SW03,FOC1635Z1GE,1,172.16.1.234,flash:/c2960s-universalk9-mz.122-55.SE5/c2960s-universalk9-mz.122-55.SE5.bin,,2019-01-21,4
30,switch,WS-C2960G-24TC-L,BB_AHO_C2_SW03,FOC1548X2TL,1,172.16.1.235,flash:c2960-lanbasek9-mz.122-50.SE5/c2960-lanbasek9-mz.122-50.SE5.bin,,2019-01-21,4
31,switch,WS-C2960X-24TS-L,BB_AHO_C1_SW04,FOC2107Z1FZ,1,172.16.1.236,flash:/c2960x-universalk9-mz.152-2.E5/c2960x-universalk9-mz.152-2.E5.bin,,2019-01-21,4
32,switch,WS-C2960G-24TC-L,BB_AHO_C2_SW04,FOC1549V0NJ,1,172.16.1.237,flash:c2960-lanbasek9-mz.122-50.SE5/c2960-lanbasek9-mz.122-50.SE5.bin,,2019-01-21,4
33,switch,WS-C2960S-24TS-L,BB_AHO_C1_SW05,FOC1643Y1PJ,1,172.16.1.238,flash:/c2960s-universalk9-mz.122-55.SE5/c2960s-universalk9-mz.122-55.SE5.bin,,2019-01-21,4
34,switch,WS-C2960G-24TC-L,BB_AHO_C2_SW05,FOC1549V0V3,1,172.16.1.239,flash:c2960-lanbasek9-mz.122-50.SE5/c2960-lanbasek9-mz.122-50.SE5.bin,,2019-01-21,4
35,switch,WS-C2960S-24TS-L,BB_AHO_C1_SW06,FOC1642Z3S8,1,172.16.1.240,flash:/c2960s-universalk9-mz.122-55.SE5/c2960s-universalk9-mz.122-55.SE5.bin,,2019-01-21,4
36,switch,WS-C2960G-24TC-L,BB_AHO_C2_SW06,FOC1244Y6VJ,1,172.16.1.241,flash:c2960-lanbase-mz.122-35.SE5/c2960-lanbase-mz.122-35.SE5.bin,,2019-01-21,4
37,switch,WS-C2960S-24TS-L,BB_AHO_C1_SW07,FOC1712Y14U,1,172.16.1.242,flash:/c2960s-universalk9-mz.122-55.SE7/c2960s-universalk9-mz.122-55.SE7.bin,,2019-01-21,4
38,switch,WS-C2960G-24TC-L,BB_AHO_C2_SW07,FOC1244Y3N3,0,172.16.1.243,flash:c2960-lanbase-mz.122-35.SE5/c2960-lanbase-mz.122-35.SE5.bin,rusak,2019-01-21,4
39,switch,WS-C2950G-24-EI,BB_AHO_ACTIVE,FOC0919W0AG,1,172.16.1.245,flash:/c2950-i6q4l2-mz.121-22.EA4.bin,,2019-01-21,4
40,switch,WS-C2960S-48TS-L,BB_AHO_ROUTER,FOC1631X2BB,1,172.16.1.246,flash:/c2960s-universalk9-mz.122-55.SE5/c2960s-universalk9-mz.122-55.SE5.bin,,2019-01-21,4
41,switch,Cisco WS-C4506-E,BB_CHO_SW01,SPE170401A9,1,172.16.1.253,bootflash:cat4500e-universalk9.SPA.03.04.00.SG.151-2.SG.bin,,2019-01-21,4
42,switch,Cisco WS-C4506-E,BB_CHO_SW01,SPE170401AD,1,172.16.1.253,bootflash:cat4500e-universalk9.SPA.03.04.00.SG.151-2.SG.bin,,2019-01-21,4
43,router,Cisco 1941/K9,BB_RHO_BI,FHK144176WE,1,172.16.1.254,flash0:c1900-universalk9-mz.SPA.151-2.T1.bin,,2019-01-21,4
44,router,Cisco ISR4321/K9,BB_RHO_PARTLINK1,FDO2242A24P,0,10.90.0.68,bootflash:isr4300-universalk9.03.16.04b.S.155-3.S4b-ext.SPA.bin,rusak,2019-01-21,4
45,router,Cisco 2901/K9,BB_RHO_VPDN,FTX1633812Q,1,10.90.0.25,flash0:c2900-universalk9-mz.SPA.151-1.T.bin,,2019-01-21,4
46,router,Cisco 2901/K9,BB_RHO_INET,FGL17412209,1,10.90.0.12,flash0:c2900-universalk9-mz.SPA.154-1.T.bin,,2019-01-21,4
47,router,Cisco 3745,,FHK0921F103,1,,flash:c3745-is-mz.122-13.T16.bin,,2019-01-21,4
48,web application firewall,FortiWeb-1000E,WAF_HO_01,FV-1KE4417900128,1,172.16.1.217,"FortiWeb-1000E 5.86,build1413,171204",,2019-01-21,4
49,web application firewall,FortiWeb-1000E,WAF_HO_02,FV-1KET118900088,1,172.16.1.218,"FortiWeb-1000E 5.86,build1413,171204",,2019-01-21,4
